"COUNTRY_CODE","PROCESSING_GROUP","PROCESSING_DATE","ACBS_CUSTOMER_ID","SCI_LEID","SCI_GROUP_ID","CORE_BANKING_ID","CUSTOMER_NAME","AFFILIATE_CODE","AFFILIATE_CODE_DESCRIPTION","ARM","ARM_DESCRIPTION","COUNTRY_CREDIT_RESPONSIBILITY","COUNTRY_CREDIT_RESP_DESC","CREDIT_GRADE","CUSTOMER_LEGAL_CONSTITUTION","CUSTOMER_LEGAL_CONST_DESC","SCB_INSTITUTIONAL_CODE","SCB_INSTITUTIONAL_CODE_DESC","SCI_CUSTOMER_TYPE","SCI_CUSTOMER_TYPE_DESCRIPTION","SCI_DOMICILE_COUNTRY","SCI_DOMICILE_COUNTRY_DESC","SCI_INCORPORATION_COUNTRY","SCI_INCORPORATION_COUNTRY_DESC","SCI_ISIC_CODE","SCI_ISIC_CODE_DESCRIPTION","SCI_SEGMENT_CODE","SCI_SEGMENT_CODE_DESCRIPTION","SCI_SUB_SEGMENT_CODE","SCI_SUB_SEGMENT_CODE_DESC","SCI_GROUP_LEGAL_ENTERPRISE_ID","TODAY_IS_MONTH_END"
"CN","HK","20200630","00353958","12842909"," ","0140417","DONGGUAN QIHONG ELECTRONICS CO., LTD."," ","BLANKS","CNK27","Cheng, Tai","MU","MAURITIUS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","A1","MIDDLE MARKETS"," ","Y"
"CN","HK","20200630","00378214","11273554"," ","4001575","FUJIAN HENGAN HOLDING CO., LTD.","999","999 Non Group","CNE04","Lily Wang","SG","SINGAPORE","4B","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6136","PAPER PAPER & CELLOPHANE PRODUCTS & STATIONARY","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00393707","13350451"," ","0194991","ZIBO NANQUAN COMMERCIAL MANAGEMENTCO., LTD.","999","999 Non Group","CNH24","Huang, Scott Shih Rong","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","8432","REAL ESTATE INVESTMENT - COMMERCIAL","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00393776","13375548"," ","0198203","XUZHOU TENGDA COKING CO.,LTD","999","999 Non Group","CNH01","Chen, Zheng","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3529","MFR OF CHEMICAL PRODUCTS NEC","E","COMMODITY TRADERS AGRICULTURE","H4","METAL TRADERS"," ","Y"
"CN","HK","20200630","00395982","13382563"," ","0237914","BEIJING HYUNDAI AUTO FINANCE CO., LTD","999","999 Non Group","CNS87","Cho, Su Man","SG","SINGAPORE","4B","28","PRIVATE LIMITED COMPANY - NON BANK FINAN","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3853","MFG OF MOTOR VEHICLES & MOTOR VEHICLE BODIES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00403365","13269356"," ","0167823","BEIJING HAINACHUAN JOHNSON CONTROLSAUTOMOTIVE COMPONENTS CO.,LTD","999","999 Non Group","CNS90","Xu, Yi","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3853","MFG OF MOTOR VEHICLES & MOTOR VEHICLE BODIES","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00403461","13354981"," ","0205682","SK NETWORKS(SHANGHAI)CO., LTD.","999","999 Non Group","CNY02","Li, Daisy Jing","SG","SINGAPORE","6A","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6199","WHOLESALE TRADE NEC","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00026022","11207301"," ","1096230","BEIJING SANLITUN NORTH PROPERTY MANAGEMENT COMPANY LIMITED","999","999 Non Group","CNK26","Feng, Joe","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","8363","MANAGING CONSULTING AND PUBLIC RELATION SERVICES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026023","11217763"," ","1257692","BEIJING SANLITUN SOUTH PROPERTY MANAGEMENT COMPANY LIMITED","999","999 Non Group","CNK26","Feng, Joe","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","8452","REAL ESTATE MANAGEMENT","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026025","11255394"," ","3912094","BEIJING TAT HONG ZHAOMAO EQUIPMENTRENTAL CO., LTD","999","999 Non Group","CNH11","Zhang, Jun","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","8368","MACHINERY & EQUIPMENT RENTAL AND LEASING","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00026032","11181844"," ","0312413","BEYONICS TECHNOLOGY ELECTRONIC (CHANGSHU) CO. LTD","999","999 Non Group","CNA35","Tan, Rachel Jin Lin","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026033","11202653"," ","1051415","BINHAI SALES CO.  LTD","999","999 Non Group","CNA70","Zhou, Yue Caroline","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3219","MFR OF TEXTILES NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026034","11217937"," ","1266748","BO TIAN SUGAR INDUSTRY COMPANY LIMITED","999","999 Non Group","CNA16","Ding, Chris","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3121","MFR OF FOOD PRODUCTS NEC","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026035","11066628"," ","0408260","BOC (CHINA) HOLDINGS CO LTD","999","999 Non Group","CNA55","Yang, Diana Xiao","SG","SINGAPORE","6B","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","4020","GAS MFR & DISTRIBUTION","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00004157","11442652"," ","6111793","LANXESS (CHANGZHOU) CO.,LTD","999","999 Non Group","CNA68","Zhou, Linda Yi Lin","SG","SINGAPORE","5A","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3529","MFR OF CHEMICAL PRODUCTS NEC","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00025963","11047135"," ","0406488","ABBOTT LABORATORIES TRADING (SHANGHAI) CO.,LTD","999","999 Non Group","CNA16","Ding, Chris","SG","SINGAPORE","4A","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6121","WHOLESALE TRADE IN MEDICAL & PHARMACEUTICAL PRODUCTS","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00025965","11207398"," ","0210651","ADIDAS SPORTS (CHINA) CO LTD","999","999 Non Group","CNA68","Zhou, Linda Yi Lin","SG","SINGAPORE","3A","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6117","WHOLESALE TRADE IN ATHLETIC SPORTS & RECREATIONAL GOODS","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00025967","11298084"," ","4947657","APS PHOTOCONDUCTOR (SHANGHAI) CO., LTD"," ","BLANKS","CNA70","Zhou, Yue Caroline"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3909","MFR INDUSTRIES NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00025968","11330054"," ","5743249","AIR LIQUIDE (CHINA) HOLDING CO LTD"," ","BLANKS","CNR22","Justine Xue"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","8181","HOLDING COMPANIES","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00025969","11330055"," ","6121616","AIR LIQUIDE (HUAI AN) CO.  LTD"," ","BLANKS","CNR22","Justine Xue"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","4020","GAS MFR & DISTRIBUTION","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00025970","11330057"," ","6008267","AIR LIQUIDE (LINFEN) CO LTD"," ","BLANKS","CNR22","Justine Xue"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","4020","GAS MFR & DISTRIBUTION","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00025971","11330056"," ","6120970","AIR LIQUIDE (YICHUN) CO LTD"," ","BLANKS","CNR22","Justine Xue"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","4020","GAS MFR & DISTRIBUTION","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00025972","11208437"," ","1153005","AKESU ESQUEL AGRICULTURAL DEVELOPMENT CO. LTD"," ","BLANKS","CND97","Guo, Ivy"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3211","SPINNING WEAVING & FINISHING TEXTILES","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026047","11209296"," ","1569414","BUNGE(SHANGHAI) MANAGEMENT CO. LTD","999","999 Non Group","CNH11","Zhang, Jun","SG","SINGAPORE","6B","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6122","WHOLESALE TRADE IN TROPICAL PRODUCE","E","COMMODITY TRADERS AGRICULTURE","H4","METAL TRADERS"," ","Y"
"CN","HK","20200630","00026048","11225790"," ","1686151","CAL COMP TECHNOLOGY (SUZHOU) CO. LTD"," ","BLANKS","CNJ28","Cheng, Tai"," ","BLANKS","NA","06","PUBLIC LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026170","12036643"," ","7908075","DONGGUAN FOAM PACKAGING MATERIAL CO. LTD. HONGYANG","999","999 Non Group","CNDYZ","Yao, Jian","TW","TAIWAN","14","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3529","MFR OF CHEMICAL PRODUCTS NEC","HV","High Value Small Business","19","SME - HIGH VALUE SMALL BUSINESS"," ","Y"
"CN","HK","20200630","00026171","11200894"," ","1062964","DONGGUAN FORAY FAR EAST SPORTS LIMITED","999","999 Non Group","CNH05","WAN, HAO","SG","SINGAPORE","14","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3903","MFG OF SPORTING & ATHLETIC GOODS","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026172","11172298"," ","0394346","DONGGUAN FORTUNE FURNITURE LIMITED"," ","BLANKS","CNF09","Mo, Si Quan"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3320","MFR OF FURNITURE & FIXTURES  EXCEPT PRIMARILY OF METAL STONE & PAPER","A","LOCAL CORPORATE","A1","MIDDLE MARKETS"," ","Y"
"CN","HK","20200630","00026173","11169725"," ","0394197","DONGGUAN HANNSTAR ELECTRONICS CO.  LTD"," ","BLANKS","CNK45","Wang, Shaoxing"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3814","MFR OF WIRE & CABLE PRODUCTS EXCEPT INSULATED WIRE & CABLE","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026174","11160157"," ","0430363","DONGGUAN LING DIAN FREEZING EQUIPMENT CO.  LTD"," ","BLANKS","CNH05","WAN, HAO"," ","BLANKS","NA","06","PUBLIC LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3828","MFR OF SPECIAL INDUSTRIAL AMCH & EQUIPMT EXCEPT METAL & WOOD WORKING","A","LOCAL CORPORATE","A1","MIDDLE MARKETS"," ","Y"
"CN","HK","20200630","00026175","11078352"," "," ","DONGGUAN MING HOI DYEING AND FINISHING FACTORY CO.LTD","999","999 Non Group","CNK14","Fong Vincent Kwok Cheung","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3211","SPINNING WEAVING & FINISHING TEXTILES","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026177","11047338"," ","0458620","DONGGUAN REX PACKAGING COMPANY LIMITED","999","999 Non Group","CNH11","Zhang, Jun","SG","SINGAPORE","5A","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3570","MFR OF PLASTIC PRODUCTS NEC","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00026179","11205366"," ","1061437","DONGGUAN SAMSUNG STEEL CENTER CO. LTD"," ","BLANKS","CNY02","Li, Daisy Jing"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3818","METAL PRODUCTS SERFVICES","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00026180","11217019"," ","1250957","DONGGUAN SHENYANG SOLDER MATERIAL CO.  LTD"," ","BLANKS","CNK45","Wang, Shaoxing"," ","BLANKS","NA","05","PRIVATE LIMITED COMPANY - OTHERS"," ","BLANKS","1","1","CN","CHINA","CN","CHINA","3818","METAL PRODUCTS SERFVICES","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026202","11242936"," ","3773779","ALJ (CHENGDU) TOYOTA AUTOMOBILE SALES & SERVICE CO., LTD","999","999 Non Group","CNA55","Yang, Diana Xiao","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6128","TRANSPORT EQUIPMENT","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026203","11243001"," ","3078752","ALJ (WUHAN) TOYOTA AUTOMOBILE SALES& SERVICE CO. LTD.","999","999 Non Group","CNA55","Yang, Diana Xiao","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6128","TRANSPORT EQUIPMENT","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026204","11047316"," ","0331009","ENERGIZER (CHINA) CO LTD","999","999 Non Group","CNF28","Feng, Joe","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3834","MFR OF STORAGE & PRIMARILY BATTRERIES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026205","11221818"," "," ","ENERSYS (CHAOZHOU) HUADA BATTERIESCO. LTD","999","999 Non Group","CND03","Xie Janet Yan","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3834","MFR OF STORAGE & PRIMARILY BATTRERIES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026206","11317305"," ","5089255","ENERSYS (CHONGQING) HUADA BATTERIES COMPANY LIMITED","999","999 Non Group","CNK26","Feng, Joe","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3834","MFR OF STORAGE & PRIMARILY BATTRERIES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026207","11221561"," ","1601946","ENERSYS (JIANGSU) HUADA BATTERIES COMPANY LIMITED","999","999 Non Group","CNK26","Feng, Joe","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3834","MFR OF STORAGE & PRIMARILY BATTRERIES","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026208","11204557"," ","1058223","EPISKY CORPORATION (XIAMEN) LTD","999","999 Non Group","CNQ80","Chung, Angus Tai An","SG","SINGAPORE","6B","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026209","11197190"," ","0264683","ERICSSON (CHINA) COMPANY LIMITED","999","999 Non Group","CNJ02","Hou, Helena","SG","SINGAPORE","7A","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3837","MFR OF RADIO TV & COMMUNICATION EQUIP. & APPARATUS","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026050","11230129"," ","1922521","CAL-COMP ELECTRONICS AND COMMUNICATIONS (SUZHOU) CO LTD","999","999 Non Group","CNJ28","Cheng, Tai","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3849","MFR OF ELECTRONIC PRODUCTS & COMPONENTS NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026052","11758950"," ","7213786","CAMPBELL SWIRE(XIAMEN) CO. LIMITED","999","999 Non Group","CNK26","Feng, Joe","SG","SINGAPORE","NA","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6111","WHOLESALE TRADE IN FOOD DRINK & TOBACCO","K","GLOBAL CORPORATE","K3","NETWORK CLIENTS"," ","Y"
"CN","HK","20200630","00026053","11305053"," "," ","CANADIAN SOLAR MANUFACTURING (CHANGSHU) INC.","999","999 Non Group","CNB04","Zhou, Patrick","SG","SINGAPORE","NA","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","3839","MFG OF ELECTRICAL MACHINERY APPARATUS APPLIANCES & SUPPLIES NEC","A","LOCAL CORPORATE","B1","LOCAL CORPORATES"," ","Y"
"CN","HK","20200630","00026054","11223188"," ","1599410","SPH KDL HEALTH CHONGQING PHARMACEUTICAL CO.,LTD.","999","999 Non Group","CNQ66","You, Kandra","SG","SINGAPORE","6A","05","PRIVATE LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6121","WHOLESALE TRADE IN MEDICAL & PHARMACEUTICAL PRODUCTS","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
"CN","HK","20200630","00026055","11208091"," ","1069330","SPH KDL HEALTH (HUBEI) PHARMACEUTICAL CO., LTD","999","999 Non Group","CNQ66","You, Kandra","SG","SINGAPORE","6A","06","PUBLIC LIMITED COMPANY - OTHERS","320","OTHER INCORPORATED COMPANIES","1","1","CN","CHINA","CN","CHINA","6121","WHOLESALE TRADE IN MEDICAL & PHARMACEUTICAL PRODUCTS","K","GLOBAL CORPORATE","K1","GLOBAL CORPORATES"," ","Y"
